"id","article_id","lieu_id"
"000242b2-a59f-4cb4-abcd-0148c672fd25","1705-08_79","0a676e4b-bd52-412a-8b61-f5bb77ae7308"
"0010bfb6-35cf-4942-b0d8-2604246bb7b8","1680-05_081","e3a01e1c-1fe5-4fdd-a0c1-b97e3ac7a218"
"00177325-3afa-4db1-bcca-1d671f13aacd","1686-10a_216","6160ac70-7170-4386-adde-51940c727226"
"003cd2a4-a432-478b-b6ba-066c8d00b4c6","1679-07_072","de3f4bf3-2dd9-49d9-a57d-c48df707cd1e"
"0049c415-5a88-4959-9592-b88b7cc43299","1677-03_077","b35df46a-ada3-4683-92c9-f2188fd0977b"
"004f80be-4eb1-4bb1-9b94-a5ebf8d6c208","1698-09_257","9781b5c9-059a-4978-8a67-436f74c2e757"
"0058de1c-1455-4222-986f-dac5fdb0de06","1686-11a_235","27201d4b-1f50-4c73-8852-17c1ad1f59f2"
"006aee86-5dc8-463d-9f14-58ccce23fa58","1686-04_112","3d9b3cbd-5960-4f8f-89e0-f29c0d701067"
"006ed082-3b4d-4760-a95d-ec32905dba32","1678-05_170","12379fd7-afb0-485e-ad21-c24e21722a9c"
"00e614b5-8a00-4680-bba5-4b31025fe800","1689-01a_265","f9dad27e-59d4-44ba-bba8-ca5b93714b93"
"011359e5-f51a-44ff-adea-d40d17676844","1697-10_204","e3a01e1c-1fe5-4fdd-a0c1-b97e3ac7a218"
"0125e7f3-4e38-4a7a-afe7-1f36ed04fa86","1707-10a_79","cf31b6b3-b37e-4a63-9f2b-bc1ff0db80d0"
"0129d0b5-e498-4f81-8911-eefa62e7fc32","1688-03_316","9a0c02bf-e8b5-472f-b0f7-589bbc8f620a"
"0179509a-7e57-4191-9a82-d2bc08b385ad","1694-05_174","7b91cf03-9e3f-40e4-b6dd-979ce78136cf"
"018db9ae-6101-4fab-bc1c-338d7c073c19","1678-06e_043","68497828-b9f9-487a-b6f2-9738eaecc205"
"0193b85c-cf88-4f9a-a713-0fce813085a1","1687-08a_006","41151456-be51-488c-8375-38558d165a3b"
"01c9a4de-55a3-48e8-bb3c-43436a3ebae8","1693-02a_009","379b42bf-b7ef-4c80-902b-2b8f0c08016e"
"01d44bfb-cdb4-4cb6-a469-61891ba41d04","1696-01_333b","7ef0b449-491c-40c6-b904-d673a59746a4"
"01d58002-8a26-48bc-8cbc-f437216b8726","1705-04_273","4fe213ba-a6d7-4a51-a98a-c0128b737cfe"
"01ec3c58-ffce-4450-9a7a-0e4bab49aa36","1710-05_225","b281a553-2672-4de1-8f3c-51cba7834550"
"01f99f51-24dc-4bbb-9420-752d90085dfd","1698-01_274","6886c7e5-cd82-42ad-91b0-decb3da12df9"
"021db9d7-e035-4775-bcc1-cac678ae42ae","1688-10a_024","af89a1a2-257d-4f62-839e-9e1b32fb398c"
"0240a3b7-7a11-44f3-8c40-44ea34577b7a","1678-06_230","01d0e303-2af0-4787-8613-00c662d6a42b"
"024ab614-a114-4041-99bd-5fdd76188228","1698-04_145","3cfccf87-e515-4b6a-89af-c4e50c78a354"
"025dfc20-8b9c-4db5-864c-15ebef6a945e","1707-02_211","dbba6bc1-0d0d-46f1-a01d-a3bf7985f054"
"0263e6f7-a066-4187-a03b-12f18ce26784","1680-11_247","70346527-3d8c-44c5-8960-b32da8d4ba09"
"02836906-3fb6-4333-900d-086e5061f526","1709-05_264","5dc87632-284e-4740-84a5-9b5768cf7564"
"02a271c6-1abe-41a8-ae0f-2c2e30ae265e","1686-09a_048","b49a5a9a-dd77-4657-b6b9-219e3fb26d03"
"02b05dad-5a89-4eff-9817-a2273e244608","1686-05_189","db1e7099-859c-4143-ac44-4a8be6a1f38e"
"02bfab53-e4f1-448d-baa3-46985b879bd3","1704-08_188","29957aab-5c8e-44e1-af2b-9fd207c2d10b"
"02e07c95-4a16-4ac3-8033-df0ec2fd2726","1686-11b_105","ceb0283d-e6c8-4961-80d1-8d047cf764a7"
"02eac75b-668e-4943-b25f-949177fd5505","1707-07_142","b98a1dfb-4197-488a-9dfd-9ba37e640fe6"
"02ed5f5a-0df1-4cd0-b6c3-200086a9befb","1682-11_178","2c069b91-d79f-4027-bc0b-34c6663c1118"
"02ee0c8a-6c67-4820-a2ec-1f673262984f","1704-09_31","32d049fb-6cd6-4852-84cf-267d43cb9987"
"02efb0a9-88a1-46e2-9deb-fb83a6f2b0cb","1698-01_136","c5f6ae2a-5bea-4d4b-b2fa-c552efa30a72"
"02fecc4d-7fae-442f-8ddc-d0df395b90dd","1683-01_044","b5641ba9-9e71-4470-9923-2c13f826b043"
"0314bcbe-5ec6-407c-88a9-74e977650243","1687-09a_270","9849dffe-3d01-402b-84c7-a82f4b64f9f7"
"031f131d-9af1-4df9-9233-a2b1f7aca02c","1685-11_069","b15a4404-1d5d-4c50-8e51-b47221466c48"
"0330d85c-72ed-40f7-8ddf-e412f1a66577","1679-09_215","7874c5ae-2df1-4b2a-b00b-bc7b8423c9c6"
"0332fb13-bdf9-4998-9204-32357a070a67","1708-08_140","ffb7f29d-5c3a-4d1e-ad0a-a1ad5a4ccf33"
"0344e6da-ca84-4acd-9e5d-43cc1eff40b6","1704-01_260","ae468d2b-2312-4b28-b3c0-1383c6c2c665"
"034c9bed-411d-4441-af22-afece0474e7c","1684-01_184","00a4e9e5-b7d4-4d3b-b15e-566a75d296f8"
"035238db-7a08-4fa7-ab6b-f98a8837a41d","1687-02_306","f345a572-f181-4cb5-8d33-0fe9cdc85ccc"
"0354ae4d-2816-40d6-88a2-acc2e4ec8a0b","1687-02_155","27201d4b-1f50-4c73-8852-17c1ad1f59f2"
"036ad8ea-5ffa-4d5c-b457-255b932f25bd","1679-09_072","cf9c7442-f15e-42da-b54f-e7cb6fd33be1"
"037f9d17-a39c-4cbc-b6e1-6bb6f20b9f23","1682-09b_325","a9a60ff8-87ac-48bd-b634-66c2aac36f09"
"038e3315-73c1-469c-b675-0d84f3843936","1686-12a_249","96e4353a-f745-41e4-8ebc-397f1d83a274"
"03968eb0-80d0-4ae5-a0a7-a6e6e4993fa7","1704-07b_160","bc21122c-5905-4aa1-b0f0-faf60510eaab"
"03a3d990-42ba-430d-82b9-7eee7ac8ac9e","1682-11_272","655a8910-4ab6-46c2-8e7d-627af864b2bf"
"03b59aeb-8ca8-4603-9019-bb1de47e33b8","1704-08_305","a98d1871-3320-41d2-90ab-441395b18e62"
"03b96f25-1c06-4dd4-83a0-7f82f3316af7","1704-10_396","afd4cfc7-412d-4201-b0a0-d8fec055aa75"
"03c188a8-02f4-4f36-b8b1-f6827dfde145","1704-08_307","bc03c45c-c874-4a68-899d-e6609ead14f5"
"03c3f0cb-d5fd-42a7-a495-b3302bf6b8f1","1685-06_266","fbf83685-5657-4625-8ca4-c238b3fe9e9a"
"03d72f3d-60b4-4122-8b46-3211e718d513","1707-05_320","18a1957e-effe-488d-bdba-1acfdc5516d2"
"03d76a48-eb4e-4712-8e2d-efa4578a4301","1679-05_290","3f662a23-ecc3-4986-a727-a25971ba7fbe"
